polarity,subjectivity
-0.4,0.6285714286
-0.65,1
0.4,1
0.225,0.8
0.4166666667,0.5
-0.06875,0.55
0,0.5
0.6,0.4666666667
0,0.5
0,0.5
-0.4,0.6285714286
0,0.1
-0.05,0.5
0.2215584416,0.3851948052
0,0.5
-0.6,0.9
-0.03333333333,0.3916666667
-0.4,0.6285714286
0.1,0.3
-0.4,0.6285714286
0.2,0.6333333333
-0.125,0
-0.4,0.6285714286
0,0.5
-0.2777777778,0.7222222222
0,0.1
0,0
0,0
0,0.5
0.1952380952,0.7523809524
0.25,0.6611111111
0,0.5
0.14375,0.79375
0,0
0,0.5
-0.2,0.6
0,0
0,0
0,0
0,0.5
0,0.1
0,0
0,0.5
-0.05,0.4
0,0
-0.125,0.8666666667
0.25,0.25
-0.2133333333,0.29
0,0.5
0,0.5
0,0.5
0,0.1
-0.05555555556,0.1777777778
0.1,0.5444444444
0,0.5
0,0
0,0
-0.068,0.434
0,0.5
-1,1
0,0.5
0,0.5
0.2145454545,0.45
-0.2777777778,0.3444444444
0.5,0.5
0,0.5
0,0.5
0,0.5
0.125,0.125
0,0.5
0.4583333333,0.7916666667
0.575,0.575
0,0.5
0,0
0.1,0.2
0.3,0.45
0,0
0,0
0.08484848485,0.2606060606
0,0.05
0,0.1
-0.2083333333,0.4583333333
-0.1875,0.5
0,0.5
-1,1
0.29,0.52
0,0.5
0,0.5
0,0
0,0.5
0,0
0,0
1,0.3
0,0
0,0.5
0,0
1,0.3
-0.05333333333,0.5033333333
0,0
0.08484848485,0.2606060606
-1,1
0,0
0,0.1
0,0.5
0,0.5
0,0.5
0,0.5
0,0.5
0,0.5
-0.1125,0.5166666667
-0.1,0.2
-0.35,0.3666666667
0,0.5
0.03611111111,0.3805555556
0.5083333333,0.7
0,0
0,0.5
0,0
0,0.5
0.325,0.325
0,0.1
0,0.3125
-0.4,0.6285714286
0,0
0,0.5
-0.07777777778,0.3944444444
0,0
0,0
-0.4,0.6285714286
0.03611111111,0.3805555556
0,0
0,0.1
0,0.5
0.3,0.75
0,0.5
0,0.5
0,0.5
0,0
0,0.5
0.5,0.5
0,0.5
0,0
0,0
0,0.95
0,0
-0.1,0.2
0,0.5
0,0
0,0.5
0,0
0.2,0.2
0,0.5
0.25,0.2833333333
0.1,0.3833333333
-0.3928571429,0.7857142857
0.244140625,0.2
0.4166666667,0.5
0,0.5
0,0.5
-0.15,0.65
-0.1125,0.2125
0,0.4
0.5083333333,0.7
0,0
0,0
0,0
-0.1666666667,0.5555555556
-0.1958333333,0.3708333333
0,0.5
0,0.5
0,0.5
0,0
0,0.5
0,0.5
-0.4,0.6285714286
-0.1666666667,0.4333333333
0,0
0,0.5
-0.2125,0.5875
0,0.5
0,0
0.1333333333,0.3333333333
0,0.5
0,0.5
0.01666666667,0.4333333333
0,0.5
-0.1,0.2
0,0.5
0,0
0.5,1
-0.2333333333,0.4305555556
0.5,0.5
0,0.5
0,0
0,0
0.8,1
0,0.5
-0.1,0.9
0,0
0,0.5
-0.4,0.6285714286
0.06666666667,0.8296296296
0,0.25
0.03611111111,0.3805555556
0.03125,0.375
0,0.5
0.03333333333,0.06666666667
0.0875,0.55
0.0380952381,0.4476190476
-0.1666666667,0.4166666667
0,0.5
0,0
-0.125,0.375
0,0.5
0.05595238095,0.4476190476
0.7,0.6
0.3571428571,0.4571428571
0.325,0.35
0,0
0.35,0.3
0,0
0,0.5
-0.5625,0.6375
0.1,0.3875
-0.1,0
0,0.3625
0,0.5
0,0
0.1,0.4
0,0.5
0.5,0.8333333333
0,0
0.4,0.8
0,0.5
-0.071875,0.625
-0.2666666667,0.7
-0.3,0.4
0,0.5
0.2272727273,0.5454545455
-0.4,0.6285714286
-0.2111111111,0.6888888889
0.6444444444,0.5777777778
-0.02013888889,0.4847222222
0,0
0.06666666667,0.2666666667
0,0
0,0
0,0.5
0.07222222222,0.5194444444
0,0
-0.1541666667,0.4083333333
-0.625,1
-0.2785714286,0.7526785714
0,0
0.02878787879,0.5787878788
-0.009583333333,0.5880555556
0,0
0.25,0.5069444444
-0.4,0.6285714286
0.2,0.4
0,0
0,0
-0.7,0.7555555556
0,0
0,0
0,0
-0.125,0.775
0,0.5
0,0
0,0
0,0.5
0.4,0.5
0.1333333333,0.6333333333
-0.01333333333,0.5933333333
0,0.5
0,0.5
-0.7,0.8
0,0.5
0,0
0.1958333333,0.575
0,0.1
0,0.5
0,0.5
0.6,0.9
0,0
0,0.5
0,0.5
0,0
-0.1666666667,0.5555555556
0,0.5
0,0
0,0
-0.01666666667,0.5833333333
-0.2083333333,0.4583333333
0,0.5
0,0.5
0.16,0.68
-0.1,0.2
0,0.5
0,1
0,0.5
0,0.5
0,0.5
0.02951388889,0.6333333333
0.16,0.54
0,0
-0.2083333333,0.4583333333
0,0.5
0,0
0,0.5
0,1
0,0
0.8,1
0,0
0.1,0.3
0,0.5
0.5133333333,0.64
0.2857142857,0.5357142857
0,0
0,0.5
1,0.3
0,0
0,0.5
0,0
0,0
0,0.5
0.3,0.45
0,0.5
0,0.5
0,0.5
0,0
0,0.5
-0.4,0.6285714286
0,0.5
-0.2083333333,0.4583333333
-0.05361111111,0.5752777778
0,0.5
0.575,0.95
0,0.1
0.4222222222,0.5444444444
0.475,0.375
0,0.5
0.6,1
0,0.5
0,0
0,0.5
0.25,1
0.06527777778,0.7
0.075,0.3875
-0.2111111111,0.7377777778
0,0
0,0
0,0.5
0.5,0.5
-0.4,0.6285714286
0,0.3625
0,0
0,0.5
-0.4,0.4
1,0.3
0.2053571429,0.3464285714
0,0.5
0,0.5
-0.07142857143,0.2142857143
0,0.5
0.2333333333,0.2666666667
0,0.4
0,0.5
0.4222222222,0.5444444444
-0.08333333333,0.2
0,0.5
0,0.5
-0.1300925926,0.6231481481
0,0.5
0,0.5
0,0
0,0
-0.2,0.8
1,0.3
0,0
-0.075,0.3875
-0.1666666667,0.5555555556
0,0.5
-0.1333333333,0.6333333333
0,0.5
0.6,1
0,0
-0.2083333333,0.4583333333
-0.1666666667,0.5555555556
0,0.5
0,0
-0.5,0.8666666667
-0.6,0.9
0.05208333333,0.3604166667
-0.125,0.375
-0.4,0.6285714286
0,0
0,0.5
-0.4,0.6285714286
-1,1
-0.1,0.2
0,0.5
0,0.5
0,0
0.4666666667,0.7333333333
0,0.5
0,0
-0.2083333333,0.4583333333
0,0.5
0,0.5
0,0.5
1,0.3
0,0.5
0.1071428571,0.6535714286
-0.4,0.6285714286
-0.1666666667,0.9666666667
0.08484848485,0.2606060606
0,0.525
0.4333333333,0.7333333333
0,0.5
0,0.1
0,0.5
-0.1666666667,0.5555555556
0.1,0.1
-0.1666666667,0.5666666667
0,0.5
0,0
-0.4,0.6285714286
0,0.5
0,0
-0.1296296296,0.8111111111
0.08484848485,0.2606060606
0,0
0,0.5
0.08484848485,0.2606060606
0.3,0.45
0.175,0.275
0,0
0,0.5
-0.205,0.58
0,0.1428571429
0,0.5
0,0.125
0,0.5
0.08484848485,0.2606060606
0,0
-0.5666666667,0.8
0,0.5
0,0.3
1,0.3
-0.4,0.6
0.5,0.5
0,0
0.3166666667,0.5666666667
0,0
0,0.3571428571
0,0.5
-0.4,0.6
0.075,0.5
0,0.5
-0.185,0.66
0,0.5
0.003571428571,0.475
0.08484848485,0.2606060606
0.08484848485,0.2606060606
0,0.1
0.08484848485,0.2606060606
0,0.5
0,0.1
0,0.06666666667
0,0.5
0,0
-0.2083333333,0.4583333333
0,0.5
0,0
0,0
0.5166666667,0.6166666667
0,0.5
-0.05,0.625
-0.3,0.5333333333
0,0
0,0.5
0.075,0.5
-0.0125,0.3875
0,0
-0.1,0.2
0,0
0,0.5
0.04444444444,0.6666666667
0,0.5
-0.4,0.4
0,0.5
1,0.3
0,0
0,0.5
0,0.5
-0.1,0.2
0.25,0.5285714286
0.5,0.5
0.08174603175,0.6720634921
0.3,0.75
0,0.3625
0,0.5
0,0.5
0,0.5
-0.4,0.6285714286
-0.8,0.9
0,0.5
0,0.5
0.25,0.75
0,0
0,0.5
0.125,0.5611111111
0,0.5
0,0.5
-0.2083333333,0.4583333333
0,0.1
0,0.1
-0.3583333333,0.5333333333
-0.05208333333,0.04583333333
-0.5,0.3
0,0.5
0,0
0.8,1
-0.02222222222,0.2777777778
0.5166666667,0.6333333333
0.5,0.5
0,1
0,0.5
0,0.5
0,0.1
0,0.1
0,0.5
0,0
-0.4,0.6285714286
0,0
0,0.30625
0.575,0.575
0,0.5
-0.4,0.6285714286
0.0375,0.6125
0,0.5
0,0.5
0,0.5
0,0.5
0,0
0.8,0.7
-0.04583333333,0.3708333333
0,0
0.35,0.4944444444
-0.1,0.2
0,0
0,0.5
0,0
-0.2083333333,0.4583333333
0.1,0.68
0,0.5
0,0.5
0,0.5
0,0
0.1333333333,0.3333333333
0,0
-0.3833333333,0.4666666667
1,0.3
0.00E+00,0.5
-0.1875,0.5
0,0
0.8,1
0,0.5
0,0.5
0,0
-0.4,0.6285714286
0,0.5
-0.4,0.6285714286
0,0.1
0,0
0,0.5
0,0.5
-0.1,0.2
0.1666666667,0.6333333333
0.2,0.3
-0.0375,0.75
0,0
0,0.1
0,0.5
-0.1166666667,0.7166666667
0,0
-0.5,0.6944444444
0,0.5
0,0
0.1,0.4
-0.4,0.6285714286
0.8,1
0,0
0,0.5
-0.5,1
0,0
0.1416666667,0.3333333333
-0.06666666667,0.6666666667
0.1,0.2
0,0
0,0
-0.5,0.3
0,0.5
0.25,0.75
0,0
0,0.5
0,0.5
0.02666666667,0.6666666667
0.1,0.4
0.5,0.5
-0.275,0.65
0,0
0,0.1
-0.5,0.8333333333
0.4,0.5
-0.2111111111,0.5555555556
0,0
0,0.5
0.2,0.4
0,0
-0.2,0.3555555556
0,0.5
0.4333333333,0.7333333333
0,0.5
0,0.6
-0.2071428571,0.6011904762
0,0.5
0,0.5
0,0.5
0,0
0,0
0,0
-0.2083333333,0.4583333333
0,0.5
0,0
0,0
-0.15,0.3125
-0.4,0.6285714286
0.2010416667,0.6944444444
0.25,0.75
0,0.5
0,0
0,1
-0.07916666667,0.525
0,0.5
-0.4,0.4
0.0625,0.3125
0,0
0,0.5
0,0.5
0,0.5
0.4125,0.35
0,0.5
-0.06607142857,0.5244047619
0,0.5
0,0.1
0,0.5
0,0
0,0.5
0.38,0.745
0,0.5
0.4,0.9
0.25,0.75
0,0.5
0,0.5
0,0.5
0,0
0,0.5
0,0.5
0,0.5
0,0.7083333333
-0.4,0.6285714286
0,0
-0.2,0.4666666667
0,0.5
0.4166666667,0.5833333333
0,0
0.1,0.4
0,0.5
0.7,0.6
0,0
0,0.5
0,0.5
0.3,0.4416666667
0,0
0,0
0.4166666667,0.5
0,0
-0.6,0.9
0,0
0.2416666667,0.7208333333
-0.0875,0.9333333333
0.2023809524,0.3015873016
0,0.5
-0.125,0.375
0,0.5
0.25,0.375
0,0.5
0,0.1
0.2,0.45
0,0
0,0
0,0.5
-0.7,1
0,0.5
-0.1,0.2
0.1,0.2
-0.7,0.725
0.2,0.3833333333
0,0
0.05,0.1625
0,0
0,0
0,0.5
-0.4,0.6285714286
0,0
0,0
0,0
0,0
0,0.5
0,0
0,0
-0.08333333333,0.4666666667
0.8,0.7
0,0.5
0,0
0.3333333333,0.4333333333
0,0
-0.6,0.9
0,0.5
0,0.5
0,0.5
0,0.5
0,0.5
0,0.5
0,0
0.2952380952,0.4674603175
0,0.5
0,0
0,0.5
-0.2333333333,0.2333333333
0.4,0.8
0,0.5
0,0
0,0
0,0
0.02083333333,0.3541666667
0.08484848485,0.2606060606
0,0.5
-0.25,0.25
-0.4,1
0,0.5
0,0.5
0.03611111111,0.3805555556
0,0.5
0,0.5
0,0
0,0.3625
0,0.5
0.5,0.5
0,0
0.1666666667,0.4166666667
0,0
0,0.5
0,0.5
0,0.5
-0.4,0.6285714286
-0.06666666667,0.1416666667
-0.5375,0.525
0,0.1
0,0.5
-0.05,0.475
0,0.5
0,0.5
0,0
-0.1,0.2
0,0.1
0,0.5
0,0
0.08484848485,0.2606060606
0,0
0.3,0.6071428571
0,0.5
0,0.5
0,0.1
-0.4,0.6285714286
0,0.125
0,0.5
0,0
-0.4,0.6285714286
-0.2,0.8
0.172979798,0.3707070707
0,0.5
-0.1,0.2
0,0.5
0.35,0.35
0.2666666667,0.45
0,0.5
0.1666666667,0.3333333333
0,0
-0.4,0.6285714286
-0.05982142857,0.6776785714
0.25,0.75
0,0.5
0,0
0,0.5
0.05,0.2083333333
0.025,0.4388888889
-0.625,0.7
0,0.5
0.25,0.75
0.05,0.35
0,0.5
0.2,0.2
0,0
0,0.5
0.2222222222,0.3638888889
0,0.1
0.3,0.45
0,0.5
0.07060606061,0.2842424242
0,0.5
0.2,0.619047619
0,0.5
0,0.5
0,0.5
0,0.5
0,0.5
0,0.5
0,0.5
0,0
0,0.5
0.35,0.7
0,0
0.35,0.55
0.2,0.3
0,0.06666666667
0,0.5
0,0.3333333333
0.06944444444,0.3472222222
-0.2,0.4666666667
-0.1416666667,0.1916666667
0.1,0.4
0,0.5
0.07857142857,0.475
-0.15,0.4916666667
0.2,0.2
-0.4333333333,0.5333333333
0,0.5
0,0
-0.125,0.375
0,0.5
0.25,0.75
0,0.5
0,0.5
0,0
-0.1,0.2
-0.8,0.9
-0.25,0.5
0,0
0,0.5
-1,1
0.071875,0.7190972222
0,0
0,0.5
0,0.5
-0.1,0.2
0.00E+00,0.1
0,0.5
0,0
0,0.5
0,0.5
0.5,0.4333333333
-0.1166666667,0.4666666667
0,0.5
-0.3,0.4
-0.183125,0.355
0,0.5
0,0.5
0,0.5
0,0.5
0,0.5
0.0390625,0.75
0.91,0.78
0,0
-0.1416666667,0.1916666667
-0.1,0.2
0,1
0,0.5
-0.19375,0.75
0,0
-1,1
0,0
-0.2,0.475
0,0.5
0,0.5
-0.5,0.9
-0.4,0.6285714286
0,0.5
0.1722222222,0.6444444444
0,0
0.3333333333,0.5
-0.25,0.25
0,0.5
0,0
0,0.5
-0.7,0.7555555556
-0.7,0.6666666667
0,0
-0.6171875,0.75
0.1428571429,0.2678571429
0.3866071429,0.7053571429
0,0.5
0,0
0,0.5
-0.06666666667,0.1416666667
0,0.5
0,0
0.5,0.5
0,0.1
0,0.5
0,0.5
0,0.5
0.03333333333,0.06666666667
-0.2428571429,0.5666666667
-0.08333333333,0.2976190476
0,0.5
0.1615079365,0.3087301587
0.575,0.575
0,0
-0.1166666667,0.5052380952
0,0
0,0
0,0.5
-0.2083333333,0.3666666667
0,0.5
-0.07916666667,0.525
-0.1104166667,0.3166666667
0,1
-0.4,0.6285714286
0,0.5
0,0
-0.3645833333,0.5416666667
0,0
0,0
0,0.5
0,0.5
0,0.07692307692
0,0.5
-0.05,0.55
0.05,0.57
-0.04791666667,0.3854166667
0,0.5
0,0.5
0.8,0.75
0,0
0,0.6
0.6,1
-0.1,0.2916666667
0,1
0.2,0.2
-0.5,0.6944444444
0,0
0.05,0.57
0,0.5
0,0.5
0,0.5
-0.2,0.8
0,0
0.5,0.5
-0.4,0.6285714286
0,0.5
0.05,0.65
-0.2,0.8
-1,1
0,0.5
0.5,0.5
-0.09444444444,0.4222222222
0,0.5
0.2666666667,0.2666666667
-0.6,0.8333333333
0,0.5
-0.5,0.6944444444
0,0.5
0,0.5
0,0
0,0.5
0,0.5
0,0.1625
0,0.5
0,0
-0.07916666667,0.525
0.2,0.2
-0.4,0.6285714286
-0.3821428571,0.6666666667
0,0
0,0.5
0,0
0,0
0,0.5
0,0
0.25,0.25
0,0.5
0,0.5
0,0.5
0.5,0.75
0.6,1
1,0.3
-0.4,0.6285714286
0,0.5
0.1216666667,0.4283333333
-1,1
0,0
0,0
0,0.5
0,0.5
0.5,0.5
0,0.5
0,0.5
0,0.5
0.03333333333,0.3666666667
0,0.5
-0.1333333333,0.6
0,0
-0.03125,0.54375
0,1
0,0.5
0.1722222222,0.6444444444
0,0.5
-0.04206349206,0.3861111111
0,0
0,0
0,0.5
-0.1416666667,0.1916666667
0,0
-0.2,0.6
0.2866666667,0.58
0,0.5
0,0
0,0
0,0.5
0,0.5
0.3,1
0.375,1
0.1071428571,0.2857142857
1,0.3
0,0
0,0
0,0.5
0,0
0,0.5
-0.025,0.05
0,0
0.125,0.4166666667
-0.07916666667,0.525
-0.1333333333,0.4333333333
0,0.1
-0.3657142857,0.7028571429
0.3780519481,0.7006493506
0,0.5
1,0.3
0,0
0,0
0,0.5
-0.5,0.875
0,0.5
0,0.5
0,0
0,0.5
-0.4,0.6285714286
0,0
0,1
-0.5,0.875
0,0.1
0,0
0,0
0,0.5
0,0
-0.4,0.6285714286
-0.4,0.6
0,0
0,0.5
0,0
0,0.5
0,0
0,0
-0.3888888889,0.8333333333
0,0
0.16,0.3
0,0.5
0.05,0.65
0,0
-0.8,0.9
0,0
0,0.5
0,0.5
0,0
0,0.5
-0.1,0.2
0.5,0.5
0.06944444444,0.3472222222
-0.15625,0.84375
0.08333333333,0.4541666667
0,0.5
0.462,0.396
0,0.5
0,0.1
0.1375,0.725
0,0.5
-0.7,0.8
-0.4,0.6285714286
0,0
0,0.5
0.1875,0.8125
0,0
-0.2,0.3
0,0
0.2,0.3
-0.5,0.875
0,0
-0.1,0.1
0,0.5
-0.07916666667,0.525
0,0.5
0,0.5
-0.25,0.59375
0,0
0.1,0.8833333333
0,0.1
0,1
0,0.5
0,0
0,0.5
0,0
0,0.5
0.05,0.2
-0.0225,0.735
0,0
0,0.5
0,0.5
0,0.5
-0.2666666667,0.3333333333
0.1722222222,0.6444444444
0.05,0.1777777778
0,0.5
0.25,0.5
0,0
0.6,1
0,0.5
0,0
0,0.5
-0.5,0.5
0.1722222222,0.6444444444
0.5,0.6
0,0.5
0.4,0.5
-0.05,0
0,0.5
0,0.5
0,0.5
0,0.5
0.125,0.425
0.35,0.65
0.14,0.3733333333
-0.1,0.4
0,0.5
-0.1888888889,0.3222222222
0,0.5
-0.4,0.4
0,0
0,0
0.1333333333,0.3333333333
0.1333333333,0.3333333333
0,0
0.1,0.4
0,0.5
0.2666666667,0.5
0,0
0,0
-0.1555555556,0.2888888889
0,0.5
0.06944444444,0.3472222222
0,0.8
0.1472727273,0.6286868687
-0.4666666667,0.7888888889
0,0
0,0.5
0,0
0,0
0,0
-0.02121212121,0.2848484848
0,0
1,0.3
0,0.5
0,0.5
-0.125,0.375
0,0
0.08,0.3964285714
0.3898989899,0.7444444444
-0.5,1
-0.05,0.8333333333
0.2,0.4
0.2,0.3
0,0.65
0.5,0.5
0,0
0.04,0.3
0,0.3333333333
-0.5,0.5
0,0
-0.4,0.4
-0.4333333333,0.6833333333
0,0
0,0
0.125,0.6125
0,0.5
0,0.5
-0.275,0.65
0,0
0,0.5
-0.4,0.6285714286
-0.05,0.8333333333
-0.625,1
0,0.5
0,0
0.01,0.3380952381
0.1,0.4
-0.3,0.6
0.1964285714,0.2589285714
-0.1,0.75
0,0.3625
0.06944444444,0.3472222222
0.06388888889,0.5127777778
0,0
0,0
0,0.5
0,0.5
0,0.5
-0.5,1
0,0.5
0,0.1
1,0.3
0,0.5
0,0
0,0
0,0.5
0,0.5
-0.3583333333,0.7466666667
-0.06666666667,0.5
-0.7142857143,0.8571428571
0,0.5
-0.2041666667,0.3166666667
0,0
0.3485714286,0.4752380952
0,0
0.1363636364,0.5
0.2287878788,0.3681818182
0,0.5
-0.0625,0.4375
0.8,0.75
0,0
0,0
0,0.3
0,0.5
-0.07916666667,0.525
0,0.06666666667
0,0
0.2,0.2333333333
0.05,0.35
-0.01626984127,0.7083333333
0,0.5
0,0.5
0.3,0.2
-0.2079365079,0.6162698413
0,0.5
0,0
0,0
0.8,0.9
0.06944444444,0.3472222222
0,0.5
0,0
0.25,0.45
0,0.5
-0.4,0.6285714286
0,0.5
0,0
0,0
-0.7,0.8
0,0
0,0.5
0,0.5
0.25,0.65
0,0
0,0
0,0.5
0,0
0.25,0.25
-0.2333333333,0.6888888889
0.1361111111,0.5722222222
0,0.5
0,0
0,0.5
0.7,0.6
0,0
0,0.5
0,0.5
0,0
0,0.5
0,0
0.33125,0.3166666667
-0.2166666667,0.4708333333
0,0.5
0,0.5
0.1666666667,0.3333333333
0.35,0.3
0.25,0.25
0.125,0.75
0.7,0.6
0,0
0,0
0.5,0.5
0,0
0.4,0.8
0.2857142857,0.5357142857
0,0
0,0
0,0.5
0,0
-0.2,0.6
0,0.5
0,0
0.125,0.625
-0.07916666667,0.525
0,0
0,0
0.5,0.6
-0.4,0.6285714286
0.09166666667,0.4
-0.025,0.2
0.1166666667,0.5
0,0
-0.2,0.4333333333
0.06818181818,0.4772727273
-0.3,0.3
-0.375,0.5729166667
-0.075,0.725
0,0
0,0
0,0.5
0.1416666667,0.225
-0.05,0.35
0,0.5
0.1964285714,0.5357142857
0.2,0.2
0,0
0,0
-0.4,0.6285714286
0,0
0,0
0.8,0.75
-0.1,1
0,0.5
0,0.5
-0.4,0.6285714286
0,1
0,0.5
-0.9375,1
-0.7,0.8
-0.1875,0.5
0,0.5
0,0
0.5,0.5
0,0
0.1666666667,0.3333333333
0,0.06666666667
0,0
0,0.1
0,0
-0.4,0.6285714286
0,0.5
0.3333333333,0.3666666667
-0.07916666667,0.525
0,0
0,0
0,0
0,0.5
0,0
0,0.5
0,0.5
-0.07083333333,0.5041666667
0,0.5
0.03611111111,0.3805555556
-0.7,0.7555555556
0,0.5
0,0.5
0,0.5
0.2291666667,0.8958333333
0,0
0.2333333333,0.437962963
0.4666666667,0.75
0,0.5
0.4,0.15
0,0.5
0,0.5
0,0.5
0,0.5
0,0
-0.1875,0.5
-1,1
0,0.6927083333
0,0
1,0.3
0,0
1,0.3
0.04166666667,0.3666666667
0,0.5
0.1,0.2
0,0
-0.05,0.4
0,0
1,0.3
0.1,0.4
0,0
0,0.5
0.05,0.4333333333
0,0.5
0,0
0,0
-0.5,0.9
-0.4,0.6285714286
-0.04583333333,0.4277777778
-0.3,0.5
-0.5,0.6666666667
0.5,0.6
-0.4,0.4
0,0
0,0.5
-0.125,0.375
0,0
0,0.5
0.05833333333,0.1333333333
0,0
0,0.5
0,0.5
-0.275,0.65
0,0.5
0,0
0.3,0.5
-0.125,0.375
0,0
0,0
-0.559375,0.8125
0.575,0.575
0,0
0,0
0,0.0625
0.35,0.3
1,0.3
0,0.06666666667
0,0
-0.0875,0.4125
0,0.5
-0.1875,0.5
0,0.5
-0.07916666667,0.525
-0.1333333333,0.4
0,0
-0.2875,0.7125
-0.1666666667,0.3888888889
0.1041666667,0.325
1,0.3
-0.06666666667,0.3416666667
0,0
0,0.5
0,0
0,0
0,0.5
0,0.5
0,0.5
-0.1875,0.5
0,0.5
0,0
0,0
-0.7,0.8
0.1925,0.535
-0.4,0.6285714286
0,1
0,0.5
0,0.5
0,0
0,0
0.1597222222,0.4444444444
0,0
0,0
-0.265625,0.68125
0.3426339286,0.5678571429
0,0
0,0
0,0.5
0.8,1
0,0.5
0,0
0,0
0.35,0.8
0,0
0,0.5
-0.1701388889,0.4659722222
0,0.3333333333
-0.35625,0.69375
0,0
0,0.5
0.625,0.525
-0.02777777778,0.7944444444
0,0
0,0.5
-0.4,0.6
0,0.5
0,0.5
0,0.5
0.3333333333,0.3333333333
0.5333333333,0.8296296296
0.4375,0.6875
-0.008333333333,0.3083333333
0,0
-0.4,0.6285714286
-0.4,0.6285714286
-0.2333333333,0.1722222222
0,0
